# Simulation 2 (Up to date)
# 125 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.173e-4,-0.023,-2.345,0.046,4.553,-1.951e-4,0,1.951e-4,180,0.039,3.903,28.61,-80.6,9.792,31.335,0,0,0,8245.423,852.184,0.686,0.005,NaN,58.353,NaN,0.012,3.319e5,4.062,0.022,0.414,0.443,0.352,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.436e-6,8.05,50.896,31,0,4.047,15,1013.25,340.389,0.01,9.62e-4
0.02,-9.188e-5,-0.018,-1.838,0.036,3.568,-1.529e-4,0,1.529e-4,180,0.031,3.058,28.61,-80.6,9.792,31.259,0,0,0,8245.063,851.824,0.686,0.005,NaN,58.351,NaN,0.012,3.37e5,12.187,0.023,0.412,0.443,0.351,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.043e-6,8.05,50.896,31,0,4.099,15,1013.25,340.389,0.01,0.001
0.03,-6.651e-5,-0.013,-1.33,0.026,2.583,-1.107e-4,0,1.107e-4,180,0.022,2.214,28.61,-80.6,9.792,31.185,0,0,0,8244.702,851.464,0.686,0.005,NaN,58.349,NaN,0.012,3.42e5,20.312,0.024,0.411,0.443,0.35,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.65e-6,8.05,50.896,31,0,4.152,15,1013.25,340.389,0.01,0.002
0.04,-4.113e-5,-0.008,-0.822,0.016,1.597,-6.845e-5,0,6.845e-5,180,0.014,1.369,28.61,-80.6,9.792,31.112,0,0,0,8244.342,851.103,0.686,0.005,NaN,58.346,NaN,0.012,3.47e5,28.437,0.024,0.41,0.442,0.349,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.257e-6,8.05,50.896,31,0,4.204,15,1013.25,340.389,0.01,0.002
0.05,-1.575e-5,-0.003,-0.315,0.006,0.611,-2.62e-5,0,2.62e-5,180,0.005,0.524,28.61,-80.6,9.792,31.042,0,0,0,8243.982,850.743,0.686,0.005,NaN,58.344,NaN,0.012,3.52e5,36.562,0.025,0.409,0.442,0.348,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.641e-7,8.05,50.896,31,0,4.256,15,1013.25,340.389,0.01,0.003
0.06,9.638e-6,0.002,0.193,0.004,0.374,1.604e-5,0,1.604e-5,0,0.003,0.321,28.61,-80.6,9.792,30.975,0,0,0,8243.622,850.383,0.686,0.005,NaN,58.342,NaN,0.013,3.599e5,44.687,0.026,0.407,0.441,0.346,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.29e-7,8.05,50.896,31,0,4.343,15,1013.25,340.389,0.01,0.003
0.07,6.394e-5,0.009,0.7,0.017,1.36,1.064e-4,0,1.064e-4,0,0.015,1.166,28.61,-80.6,9.792,30.885,0,0,0,8243.262,850.023,0.686,0.005,NaN,58.34,NaN,0.013,3.68e5,52.812,0.027,0.406,0.44,0.344,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.451e-6,8.05,50.896,31,0,4.429,15,1013.25,340.389,0.01,0.003
0.08,2.137e-4,0.021,1.208,0.041,2.346,3.556e-4,0,3.556e-4,0,0.035,2.011,28.61,-80.6,9.792,30.735,0,0,0,8242.902,849.663,0.686,0.005,NaN,58.337,NaN,0.013,3.769e5,60.937,0.028,0.404,0.439,0.343,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.767e-6,8.05,50.896,31,0,4.516,15,1013.25,340.389,0.01,0.004
0.09,5.096e-4,0.038,1.716,0.074,3.332,8.481e-4,0,8.481e-4,0,0.064,2.856,28.61,-80.6,9.792,30.531,0,0,0,8242.542,849.303,0.686,0.005,NaN,58.335,NaN,0.014,3.864e5,69.062,0.03,0.402,0.44,0.341,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.048e-5,8.05,50.896,31,0,4.602,15,1013.25,340.389,0.01,0.007
0.1,0.001,0.06,2.224,0.117,4.318,0.002,0,0.002,0,0.101,3.701,28.61,-80.6,9.792,30.277,0,0,0,8242.182,848.943,0.686,0.005,NaN,58.333,NaN,0.014,3.966e5,77.187,0.031,0.4,0.44,0.339,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.658e-5,8.05,50.896,31,0,4.689,15,1013.25,340.389,0.01,0.008
0.11,0.002,0.088,2.732,0.17,5.304,0.003,0,0.003,0,0.146,4.546,28.61,-80.6,9.792,29.987,0,0,0,8241.821,848.582,0.685,0.005,NaN,58.331,NaN,0.015,4.11e5,85.312,0.034,0.397,0.44,0.336,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.407e-5,8.05,50.896,31,0,4.816,15,1013.25,340.389,0.01,0.011
0.12,0.003,0.12,3.239,0.233,6.29,0.005,0,0.005,0,0.2,5.391,28.61,-80.6,9.792,29.662,0,0,0,8241.461,848.222,0.685,0.005,NaN,58.328,NaN,0.015,4.26e5,93.437,0.036,0.395,0.441,0.334,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.296e-5,8.05,50.896,31,0,4.943,15,1013.25,340.389,0.01,0.013
0.13,0.004,0.158,3.747,0.306,7.276,0.007,0,0.007,0,0.262,6.237,28.61,-80.6,9.792,29.307,0,0,0,8241.101,847.862,0.685,0.005,NaN,58.326,NaN,0.016,4.418e5,101.562,0.039,0.392,0.441,0.331,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.325e-5,8.05,50.896,31,0,5.07,15,1013.25,340.389,0.01,0.014
0.14,0.006,0.2,4.255,0.389,8.262,0.01,0,0.01,0,0.333,7.082,28.61,-80.6,9.792,28.927,0,0,0,8240.741,847.502,0.685,0.005,NaN,58.324,NaN,0.016,4.583e5,109.687,0.042,0.39,0.442,0.328,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.492e-5,8.05,50.896,31,0,5.197,15,1013.249,340.389,0.01,0.016
0.15,0.008,0.247,4.665,0.479,9.058,0.014,0,0.014,0,0.411,7.764,28.61,-80.6,9.792,28.536,0,0,0,8240.022,846.783,0.685,0.005,NaN,58.319,NaN,0.017,4.753e5,116.242,0.045,0.387,0.443,0.326,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.773e-5,8.05,50.896,31,0,5.324,15,1013.249,340.389,0.01,0.017
0.16,0.011,0.295,4.791,0.572,9.303,0.018,0,0.018,0,0.49,7.974,28.61,-80.6,9.792,28.13,0,0,0,8239.149,845.91,0.685,0.005,NaN,58.314,NaN,0.017,4.875e5,118.247,0.048,0.385,0.444,0.324,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.087e-5,8.05,50.896,31,0,5.388,15,1013.249,340.389,0.01,0.02
0.17,0.014,0.344,4.899,0.667,9.512,0.023,0,0.023,0,0.572,8.153,28.61,-80.6,9.792,27.735,0,0,0,8238.276,845.037,0.684,0.005,NaN,58.308,NaN,0.018,4.998e5,119.963,0.051,0.383,0.446,0.322,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.432e-5,8.05,50.896,31,0,5.453,15,1013.248,340.389,0.01,0.022
0.18,0.018,0.394,5.007,0.765,9.722,0.03,0,0.03,0,0.655,8.333,28.61,-80.6,9.792,27.35,0,0,0,8237.403,844.164,0.684,0.005,NaN,58.303,NaN,0.018,5.122e5,121.679,0.053,0.382,0.447,0.321,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.081e-4,8.05,50.896,31,0,5.518,15,1013.248,340.389,0.01,0.022
# Event LIFTOFF occurred at t=0.19 seconds
0.19,0.022,0.445,5.115,0.864,9.931,0.037,0,0.037,0,0.74,8.513,28.61,-80.6,9.792,26.975,0,0,0,8236.53,843.291,0.684,0.005,NaN,58.297,NaN,0.019,5.249e5,123.395,0.056,0.38,0.448,0.319,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.221e-4,8.05,50.896,31,0,5.582,15,1013.247,340.389,0.01,0.023
0.2,0.027,0.497,5.223,0.965,10.141,0.044,0,0.044,0,0.827,8.692,28.61,-80.6,9.792,26.609,0,0,0,8235.657,842.418,0.684,0.005,NaN,58.292,NaN,0.019,5.377e5,125.112,0.059,0.379,0.449,0.317,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.364e-4,8.05,50.896,31,0,5.647,15,1013.247,340.389,0.01,0.024
0.21,0.032,0.55,5.331,1.069,10.35,0.053,0,0.053,0,0.916,8.872,28.61,-80.6,9.792,26.263,0,0,0,8234.784,841.545,0.684,0.005,NaN,58.286,NaN,0.02,5.52e5,126.828,0.062,0.377,0.45,0.316,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.511e-4,8.05,50.896,31,0,5.726,15,1013.246,340.389,0.01,0.024
0.22,0.038,0.605,5.439,1.174,10.56,0.063,0,0.063,0,1.007,9.052,28.61,-80.6,9.792,25.927,0,0,0,8233.911,840.672,0.683,0.005,NaN,58.281,NaN,0.02,5.664e5,128.544,0.066,0.375,0.451,0.314,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66e-4,8.05,50.896,31,0,5.806,15,1013.246,340.389,0.01,0.025
0.23,0.044,0.66,5.547,1.282,10.77,0.073,0,0.073,0,1.099,9.232,28.61,-80.6,9.792,25.6,0,0,0,8233.038,839.799,0.683,0.005,NaN,58.275,NaN,0.021,5.81e5,130.26,0.069,0.373,0.451,0.312,0.007,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.812e-4,8.05,50.896,31,0,5.886,15,1013.245,340.389,0.01,0.025
